entity_id,query_title,resolved_title,page_exists,level_verified,matched_categories,matched_intro_terms,wikidata_id,matched_instance_classes,page_id,revision_id,page_url,checked_at_utc,review_status,review_note
CNUR-000001,北京市,北京市,true,true,,地区,Q956,,463,93297325,https://zh.wikipedia.org/wiki/%E5%8C%97%E4%BA%AC%E5%B8%82,2026-07-11T07:50:47+00:00,verified,municipality rule
CNUR-000002,天津市,天津市,true,true,,地区,Q11736,,467,93198580,https://zh.wikipedia.org/wiki/%E5%A4%A9%E6%B4%A5%E5%B8%82,2026-07-11T07:50:47+00:00,verified,municipality rule
CNUR-000003,石家庄市,石家庄市,true,true,河北省地级市,,Q58401,Q748149,12729,93139868,https://zh.wikipedia.org/wiki/%E7%9F%B3%E5%AE%B6%E5%BA%84%E5%B8%82,2026-07-11T07:50:47+00:00,verified,category evidence
CNUR-000004,唐山市,唐山市,true,true,河北省地级市,地级市 | 地区,Q58422,Q748149,12719,93044981,https://zh.wikipedia.org/wiki/%E5%94%90%E5%B1%B1%E5%B8%82,2026-07-11T07:50:47+00:00,verified,category evidence
CNUR-000005,秦皇岛市,秦皇岛市,true,true,河北省地级市,,Q58560,Q748149,12721,93362188,https://zh.wikipedia.org/wiki/%E7%A7%A6%E7%9A%87%E5%B2%9B%E5%B8%82,2026-07-11T07:50:47+00:00,verified,category evidence
CNUR-000006,邯郸市,邯郸市,true,true,河北省地级市,,Q58570,Q748149,4616,93325028,https://zh.wikipedia.org/wiki/%E9%82%AF%E9%83%B8%E5%B8%82,2026-07-11T07:50:47+00:00,verified,category evidence
CNUR-000007,邢台市,邢台市,true,true,河北省地级市,,Q58576,Q748149,12727,93257080,https://zh.wikipedia.org/wiki/%E9%82%A2%E5%8F%B0%E5%B8%82,2026-07-11T07:50:47+00:00,verified,category evidence
CNUR-000008,保定市,保定市,true,true,河北省地级市,地级市 | 地区,Q58584,Q748149,12726,92799992,https://zh.wikipedia.org/wiki/%E4%BF%9D%E5%AE%9A%E5%B8%82,2026-07-11T07:50:47+00:00,verified,category evidence
CNUR-000009,张家口市,张家口市,true,true,河北省地级市,地级市 | 盟,Q58650,Q748149,12722,92790706,https://zh.wikipedia.org/wiki/%E5%BC%A0%E5%AE%B6%E5%8F%A3%E5%B8%82,2026-07-11T07:50:47+00:00,verified,category evidence
CNUR-000010,承德市,承德市,true,true,,地级市 | 地区 | 盟,Q58675,Q748149,34493,93348413,https://zh.wikipedia.org/wiki/%E6%89%BF%E5%BE%B7%E5%B8%82,2026-07-11T07:50:47+00:00,verified,intro evidence
CNUR-000011,沧州市,沧州市,true,true,河北省地级市,,Q58695,Q748149,12724,93252590,https://zh.wikipedia.org/wiki/%E6%B2%A7%E5%B7%9E%E5%B8%82,2026-07-11T07:50:47+00:00,verified,category evidence
CNUR-000012,廊坊市,廊坊市,true,true,河北省地级市,地级市,Q58710,Q748149,12725,92882792,https://zh.wikipedia.org/wiki/%E5%BB%8A%E5%9D%8A%E5%B8%82,2026-07-11T07:50:47+00:00,verified,category evidence
CNUR-000013,衡水市,衡水市,true,true,河北省地级市,,Q58724,Q748149,12728,93280112,https://zh.wikipedia.org/wiki/%E8%A1%A1%E6%B0%B4%E5%B8%82,2026-07-11T07:50:47+00:00,verified,category evidence
CNUR-000014,太原市,太原市,true,true,山西省地级市,地区,Q72778,Q748149,13063,92427237,https://zh.wikipedia.org/wiki/%E5%A4%AA%E5%8E%9F%E5%B8%82,2026-07-11T07:50:47+00:00,verified,category evidence
CNUR-000015,大同市,大同市,true,true,,地级市,Q72877,Q748149,99210,93381762,https://zh.wikipedia.org/wiki/%E5%A4%A7%E5%90%8C%E5%B8%82,2026-07-11T07:50:47+00:00,verified,intro evidence
CNUR-000016,阳泉市,阳泉市,true,true,,,Q72907,Q748149,44668,92680763,https://zh.wikipedia.org/wiki/%E9%98%B3%E6%B3%89%E5%B8%82,2026-07-11T07:50:47+00:00,verified,wikidata instance evidence
CNUR-000017,长治市,长治市,true,true,,,Q72945,Q748149,44674,93348209,https://zh.wikipedia.org/wiki/%E9%95%BF%E6%B2%BB%E5%B8%82,2026-07-11T07:50:47+00:00,verified,wikidata instance evidence
CNUR-000018,晋城市,晋城市,true,true,,,Q72990,Q748149,44677,93047635,https://zh.wikipedia.org/wiki/%E6%99%8B%E5%9F%8E%E5%B8%82,2026-07-11T07:50:47+00:00,verified,wikidata instance evidence
CNUR-000019,朔州市,朔州市,true,true,,,Q73020,Q748149,44685,92538662,https://zh.wikipedia.org/wiki/%E6%9C%94%E5%B7%9E%E5%B8%82,2026-07-11T07:50:47+00:00,verified,wikidata instance evidence
CNUR-000020,晋中市,晋中市,true,true,山西省地级市,,Q73045,Q748149,18565,93182654,https://zh.wikipedia.org/wiki/%E6%99%8B%E4%B8%AD%E5%B8%82,2026-07-11T07:50:47+00:00,verified,category evidence
CNUR-000021,运城市,运城市,true,true,,,Q73073,Q748149,33680,92932070,https://zh.wikipedia.org/wiki/%E8%BF%90%E5%9F%8E%E5%B8%82,2026-07-11T07:50:47+00:00,verified,wikidata instance evidence
CNUR-000022,忻州市,忻州市,true,true,,地级市,Q73119,Q748149,44683,93182685,https://zh.wikipedia.org/wiki/%E5%BF%BB%E5%B7%9E%E5%B8%82,2026-07-11T07:50:47+00:00,verified,intro evidence
CNUR-000023,临汾市,临汾市,true,true,山西省地级市,地级市 | 地区,Q73156,Q748149,14178,92911859,https://zh.wikipedia.org/wiki/%E4%B8%B4%E6%B1%BE%E5%B8%82,2026-07-11T07:50:47+00:00,verified,category evidence
