from_entity_id,from_name,to_entity_id,to_name,relation_type,year,automatic_continuity,mapping_quality,treatment_hint,review_note
CNUR-000106,黄山市,CNUR-000106,黄山市,upgrade,0,true,exact,continuous_identity,
CNUR-000144,威海市,CNUR-000144,威海市,upgrade,0,true,exact,continuous_identity,
CNUR-000095,舟山市,CNUR-000095,舟山市,upgrade,0,true,exact,continuous_identity,
CNUR-000341,海南黎族苗族自治州,,,abolish,0,false,event_only,break_flag_only,abolished historical autonomous prefecture; former counties moved to direct Hainan Administrative Region control
CNUR-000232,三亚市,CNUR-000232,三亚市,upgrade,0,true,exact,continuous_identity,
CNUR-000238,攀枝花市,CNUR-000238,攀枝花市,rename,0,true,exact,continuous_identity,
CNUR-000254,阿坝藏族羌族自治州,CNUR-000254,阿坝藏族羌族自治州,rename,0,true,exact,continuous_identity,
CNUR-000012,廊坊市,CNUR-000012,廊坊市,upgrade,0,true,exact,continuous_identity,
CNUR-000019,朔州市,,,establish,0,false,event_only,break_flag_only,朔州市 was explicitly established as a prefecture-level city
CNUR-000188,常德市,CNUR-000188,常德市,upgrade,0,true,exact,continuous_identity,
CNUR-000189,张家界市,CNUR-000189,张家界市,upgrade,0,true,exact,continuous_identity,大庸市升格为地级市；1994 年更名为张家界市
CNUR-000205,肇庆市,CNUR-000205,肇庆市,upgrade,0,true,exact,continuous_identity,
CNUR-000347,惠阳地区,,,split,0,false,event_only,break_flag_only,惠阳地区撤销并形成惠州、汕尾、河源三个主要后继实体
CNUR-000208,汕尾市,,,establish,0,false,event_only,break_flag_only,汕尾市 was explicitly established as a prefecture-level city
CNUR-000209,河源市,,,establish,0,false,event_only,break_flag_only,河源市 was explicitly established as a prefecture-level city
CNUR-000212,东莞市,CNUR-000212,东莞市,upgrade,0,true,exact,continuous_identity,
CNUR-000207,梅州市,CNUR-000207,梅州市,upgrade,0,true,exact,continuous_identity,
CNUR-000210,阳江市,,,establish,0,false,event_only,break_flag_only,阳江市 was explicitly established as a prefecture-level city
CNUR-000211,清远市,,,establish,0,false,event_only,break_flag_only,清远市 was explicitly established as a prefecture-level city
CNUR-000213,中山市,CNUR-000213,中山市,upgrade,0,true,exact,continuous_identity,
CNUR-000348,安庆地区,,,merge,0,false,event_only,break_flag_only,安庆地区 and the existing city were merged into the unified 安庆市
CNUR-000113,池州市,,,establish_prefecture,0,false,event_only,break_flag_only,池州地区 later continued as the Chizhou research entity
CNUR-000121,南平市,CNUR-000121,南平市,rename,0,true,exact,continuous_identity,建阳地区 renamed 南平地区 and later became 南平市
CNUR-000145,日照市,CNUR-000145,日照市,upgrade,0,true,exact,continuous_identity,1989-06-12 国务院批复日照市由县级市升为地级市（国函〔1989〕43号），行政区域、人员编制不变；1989-11-05 正式对外办公。日照县撤县设市为1985年（85国函字43号，县级）。
CNUR-000214,潮州市,CNUR-000214,潮州市,upgrade,0,true,exact,continuous_identity,1991-12-07 国务院批复调整汕头、潮州两市行政区划（国函〔1991〕84号）：潮州市升格为地级市，设立潮州市湘桥区、潮安县，将潮安县和原汕头市的饶平县划归潮州市管辖。
CNUR-000215,揭阳市,,,establish,0,false,event_only,break_flag_only,1991-12-07 国务院批复（国函〔1991〕84号）：撤销揭阳县，设立揭阳市（地级），设立揭阳市榕城区、揭东县，将揭东县和原汕头市的揭西、普宁、惠来四县划归揭阳市管辖。
CNUR-000107,滁州市,CNUR-000107,滁州市,upgrade,0,true,exact,continuous_identity,
CNUR-000342,万县市,CNUR-000342,万县市,upgrade,0,true,exact,continuous_identity,Wanxian Prefecture continued as the historical prefecture-level Wanxian City until 1997
CNUR-000349,宜昌地区,,,abolish,0,false,event_only,break_flag_only,宜昌地区 merged into the existing 宜昌市
